"medcode","readcode","Description","CodingSystem","source"
33863,"Eu50300","[X]Atypical bulimia nervosa","readcode","ANO049"
34929,"Eu50100","[X]Atypical anorexia nervosa","readcode","ANO049"
53746,"R030z00","[D]Anorexia NOS","readcode","ANO049"
53746,"R030z00","[D]Anorexia NOS","readcode","ANO049"
191,"E278100","Tension headache","readcode","ANX021"
276,"E28..00","Acute reaction to stress","readcode","ANX021"
636,"E200.00","Anxiety states","readcode","ANX021"
655,"E200300","Anxiety with depression","readcode","ANX021"
966,"E207.00","Hypochondriasis","readcode","ANX021"
1510,"E202B00","Cancer phobia","readcode","ANX021"
1723,"E202800","Claustrophobia","readcode","ANX021"
1758,"E200400","Chronic anxiety","readcode","ANX021"
1907,"E202.00","Phobic disorders","readcode","ANX021"
2030,"E203100","Obsessional neurosis","readcode","ANX021"
2076,"E21..00","Personality disorders","readcode","ANX021"
2188,"E201.00","Hysteria","readcode","ANX021"
2300,"E202000","Phobia unspecified","readcode","ANX021"
2366,"E202C00","Dental phobia","readcode","ANX021"
2571,"Eu40000","[X]Agoraphobia","readcode","ANX021"
2775,"E290000","Grief reaction","readcode","ANX021"
2826,"E29..00","Adjustment reaction","readcode","ANX021"
2871,"E264200","Cyclical vomiting - psychogenic","readcode","ANX021"
3076,"E202100","Agoraphobia with panic attacks","readcode","ANX021"
3208,"E203.00","Obsessive-compulsive disorders","readcode","ANX021"
3361,"E205.00","Neurasthenia - nervous debility","readcode","ANX021"
3438,"E201100","Hysterical blindness","readcode","ANX021"
3685,"E20y100","Writer's cramp neurosis","readcode","ANX021"
3869,"E264400","Psychogenic dyspepsia","readcode","ANX021"
4069,"E200100","Panic disorder","readcode","ANX021"
4167,"E202A00","Fear of flying","readcode","ANX021"
4171,"Eu43100","[X]Post - traumatic stress disorder","readcode","ANX021"
4199,"E26..00","Physiological malfunction arising from mental factors","readcode","ANX021"
4269,"E201700","Hysterical amnesia","readcode","ANX021"
4534,"E200z00","Anxiety state NOS","readcode","ANX021"
4634,"E200500","Recurrent anxiety","readcode","ANX021"
4659,"E200200","Generalised anxiety disorder","readcode","ANX021"
4775,"E201800","Hysterical fugue","readcode","ANX021"
4963,"E264000","Psychogenic aerophagy","readcode","ANX021"
5067,"E26z.00","Psychosomatic disorder NOS","readcode","ANX021"
5249,"E20..00","Neurotic disorders","readcode","ANX021"
5304,"Eu42.00","[X]Obsessive - compulsive disorder","readcode","ANX021"
5305,"E206.00","Depersonalisation syndrome","readcode","ANX021"
5385,"Eu41.00","[X]Other anxiety disorders","readcode","ANX021"
5652,"E210.00","Paranoid personality disorder","readcode","ANX021"
5678,"E203000","Compulsive neurosis","readcode","ANX021"
6071,"E202E00","Fear of pregnancy","readcode","ANX021"
6075,"E293000","Adjustment reaction with aggression","readcode","ANX021"
6221,"E292000","Separation anxiety disorder","readcode","ANX021"
6939,"E200000","Anxiety state unspecified","readcode","ANX021"
7537,"Eu45200","[X]Hypochondriacal disorder","readcode","ANX021"
7716,"E29y300","Elective mutism due to an adjustment reaction","readcode","ANX021"
8205,"Eu41000","[X]Panic disorder [episodic paroxysmal anxiety]","readcode","ANX021"
9125,"8G94.00","Anxiety management training","readcode","ANX021"
9265,"Eu46100","[X]Depersonalization - derealization syndrome","readcode","ANX021"
9386,"Eu40.00","[X]Phobic anxiety disorders","readcode","ANX021"
9686,"E2...00","Neurotic, personality and other nonpsychotic disorders","readcode","ANX021"
9785,"Eu40200","[X]Specific (isolated) phobias","readcode","ANX021"
10001,"E26y000","Bruxism (teeth grinding)","readcode","ANX021"
10344,"Eu41100","[X]Generalized anxiety disorder","readcode","ANX021"
10390,"E202D00","Fear of death","readcode","ANX021"
10455,"E211200","Depressive personality disorder","readcode","ANX021"
11098,"Eu43.00","[X]Reaction to severe stress, and adjustment disorders","readcode","ANX021"
11336,"Eu43200","[X]Adjustment disorders","readcode","ANX021"
11602,"Eu40100","[X]Social phobias","readcode","ANX021"
11607,"Eu43000","[X]Acute stress reaction","readcode","ANX021"
11913,"Eu41200","[X]Mixed anxiety and depressive disorder","readcode","ANX021"
11940,"E280.00","Acute panic state due to acute stress reaction","readcode","ANX021"
12228,"E211100","Hypomanic personality disorder","readcode","ANX021"
12453,"Eu45500","[X]Globus pharyngeus","readcode","ANX021"
12508,"Eu40300","[X]Needle phobia","readcode","ANX021"
12707,"E211300","Cyclothymic personality disorder","readcode","ANX021"
12838,"E202200","Agoraphobia without mention of panic attacks","readcode","ANX021"
14729,"E202z00","Phobic disorder NOS","readcode","ANX021"
14780,"E20z.00","Neurotic disorder NOS","readcode","ANX021"
14979,"E211.00","Affective personality disorder","readcode","ANX021"
15034,"E262z00","Psychogenic cardiovascular symptom NOS","readcode","ANX021"
15035,"E260z00","Psychogenic musculoskeletal symptoms NOS","readcode","ANX021"
15224,"E263z00","Psychogenic skin symptoms NOS","readcode","ANX021"
15284,"E262200","Neurocirculatory asthenia","readcode","ANX021"
15292,"E262000","Cardiac neurosis","readcode","ANX021"
15321,"E20y000","Somatization disorder","readcode","ANX021"
15371,"E264300","Psychogenic diarrhoea","readcode","ANX021"
15431,"E201600","Other conversion disorder","readcode","ANX021"
15483,"E261100","Psychogenic cough","readcode","ANX021"
15551,"E282.00","Acute stupor state due to acute stress reaction","readcode","ANX021"
15566,"E203z00","Obsessive-compulsive disorder NOS","readcode","ANX021"
15665,"E292z00","Adjustment reaction with disturbance of other emotion NOS","readcode","ANX021"
15939,"E264500","Psychogenic constipation","readcode","ANX021"
15959,"E263000","Psychogenic pruritus","readcode","ANX021"
16178,"E211000","Unspecified affective personality disorder","readcode","ANX021"
16199,"E202300","Social phobia, fear of eating in public","readcode","ANX021"
16415,"E293.00","Adjustment reaction with predominant disturbance of conduct","readcode","ANX021"
16484,"E201500","Hysterical seizures","readcode","ANX021"
16561,"Eu46000","[X]Neurasthenia","readcode","ANX021"
18049,"Eu45.00","[X]Somatoform disorders","readcode","ANX021"
18399,"Eu42200","[X]Mixed obsessional thoughts and acts","readcode","ANX021"
18603,"E202500","Social phobia, fear of public washing","readcode","ANX021"
19921,"E29y500","Other adjustment reaction with withdrawal","readcode","ANX021"
20053,"E261300","Psychogenic hyperventilation","readcode","ANX021"
20109,"E265100","Psychogenic vaginismus","readcode","ANX021"
20245,"E283000","Acute situational disturbance","readcode","ANX021"
20634,"Eu42000","[X]Predominantly obsessional thoughts or ruminations","readcode","ANX021"
21753,"Eu43y00","[X]Other reactions to severe stress","readcode","ANX021"
22019,"Eu42100","[X]Predominantly compulsive acts [obsessional rituals]","readcode","ANX021"
22136,"Eu44.00","[X]Dissociative [conversion] disorders","readcode","ANX021"
22721,"Eu42z00","[X]Obsessive-compulsive disorder, unspecified","readcode","ANX021"
23327,"E292100","Adolescent emancipation disorder","readcode","ANX021"
23354,"E201z00","Hysteria NOS","readcode","ANX021"
23413,"E261400","Psychogenic yawning","readcode","ANX021"
23462,"E29yz00","Other adjustment reactions NOS","readcode","ANX021"
23490,"E201A00","Dissociative reaction unspecified","readcode","ANX021"
23598,"E201300","Hysterical tremor","readcode","ANX021"
23808,"Eu4..00","[X]Neurotic, stress - related and somoform disorders","readcode","ANX021"
23838,"Eu41z00","[X]Anxiety disorder, unspecified","readcode","ANX021"
23869,"E284.00","Stress reaction causing mixed disturbance of emotion/conduct","readcode","ANX021"
24066,"Eu41y00","[X]Other specified anxiety disorders","readcode","ANX021"
24212,"E292.00","Adjustment reaction, predominant disturbance other emotions","readcode","ANX021"
24439,"Eu45000","[X]Somatization disorder","readcode","ANX021"
24525,"E201C00","Phantom pregnancy","readcode","ANX021"
24847,"E283100","Acute posttrauma stress state","readcode","ANX021"
26138,"E28z.00","Acute stress reaction NOS","readcode","ANX021"
27390,"E29y400","Adjustment reaction due to hospitalisation","readcode","ANX021"
27633,"Eu44600","[X]Dissociative anaesthesia and sensory loss","readcode","ANX021"
27685,"Eu40y00","[X]Other phobic anxiety disorders","readcode","ANX021"
28090,"Eu46.00","[X]Other neurotic disorders","readcode","ANX021"
28106,"E202600","Acrophobia","readcode","ANX021"
28938,"E202700","Animal phobia","readcode","ANX021"
29322,"E201B00","Compensation neurosis","readcode","ANX021"
29448,"E262.00","Psychogenic cardiovascular symptoms","readcode","ANX021"
29461,"E263.00","Psychogenic skin symptoms","readcode","ANX021"
29707,"E283z00","Other acute stress reaction NOS","readcode","ANX021"
30179,"Eu45400","[X]Persistent somatoform pain disorder","readcode","ANX021"
30961,"E262300","Psychogenic cardiovascular disorder","readcode","ANX021"
31422,"E264.00","Psychogenic gastrointestinal tract symptoms","readcode","ANX021"
31515,"Eu43z00","[X]Reaction to severe stress, unspecified","readcode","ANX021"
31672,"E202900","Fear of crowds","readcode","ANX021"
31957,"E202400","Social phobia, fear of public speaking","readcode","ANX021"
32034,"E261000","Psychogenic air hunger","readcode","ANX021"
32387,"E29y100","Other post-traumatic stress disorder","readcode","ANX021"
34064,"Eu40z00","[X]Phobic anxiety disorder, unspecified","readcode","ANX021"
34664,"E261z00","Psychogenic respiratory symptom NOS","readcode","ANX021"
34696,"E201400","Hysterical paralysis","readcode","ANX021"
34978,"Eu44400","[X]Dissociative motor disorders","readcode","ANX021"
35632,"E29y200","Adjustment reaction with physical symptoms","readcode","ANX021"
35914,"E293100","Adjustment reaction with antisocial behaviour","readcode","ANX021"
37669,"E29z.00","Adjustment reaction NOS","readcode","ANX021"
38134,"E261.00","Psychogenic respiratory symptoms","readcode","ANX021"
38640,"E283.00","Other acute stress reactions","readcode","ANX021"
38809,"Eu42y00","[X]Other obsessive-compulsive disorders","readcode","ANX021"
39518,"E20y200","Other occupational neurosis","readcode","ANX021"
39747,"Eu44300","[X]Trance and possession disorders","readcode","ANX021"
39826,"Eu44100","[X]Dissociative fugue","readcode","ANX021"
40311,"E278.00","Psychalgia","readcode","ANX021"
40994,"Eu44000","[X]Dissociative amnesia","readcode","ANX021"
41038,"Eu45300","[X]Somatoform autonomic dysfunction","readcode","ANX021"
41455,"E29y.00","Other adjustment reactions","readcode","ANX021"
41572,"E201000","Hysteria unspecified","readcode","ANX021"
41615,"E261500","Psychogenic aphonia","readcode","ANX021"
42000,"E20y.00","Other neurotic disorders","readcode","ANX021"
42737,"E281.00","Acute fugue state due to acute stress reaction","readcode","ANX021"
43050,"E20yz00","Other neurotic disorder NOS","readcode","ANX021"
43302,"E201900","Multiple personality","readcode","ANX021"
44212,"E260.00","Psychogenic musculoskeletal symptoms","readcode","ANX021"
44321,"Eu41300","[X]Other mixed anxiety disorders","readcode","ANX021"
44331,"Eu46y00","[X]Other specified neurotic disorders","readcode","ANX021"
44547,"E265200","Psychogenic dysmenorrhea","readcode","ANX021"
44739,"E201200","Hysterical deafness","readcode","ANX021"
45205,"E278200","Psychogenic backache","readcode","ANX021"
45603,"E294.00","Adjustment reaction with disturbance emotion and conduct","readcode","ANX021"
47809,"E261200","Psychogenic hiccough","readcode","ANX021"
48561,"E260000","Psychogenic paralysis","readcode","ANX021"
48588,"E292y00","Adjustment reaction with mixed disturbance of emotion","readcode","ANX021"
48671,"Eu45z00","[X]Somatoform disorder, unspecified","readcode","ANX021"
48906,"Eu44z00","[X]Dissociative [conversion] disorder, unspecified","readcode","ANX021"
49628,"Eu46z00","[X]Neurotic disorder, unspecified","readcode","ANX021"
51497,"E211z00","Affective personality disorder NOS","readcode","ANX021"
53362,"E29y000","Concentration camp syndrome","readcode","ANX021"
53766,"E278000","Psychogenic pain unspecified","readcode","ANX021"
54373,"E278z00","Psychalgia NOS","readcode","ANX021"
54658,"E292200","Early adult emancipation disorder","readcode","ANX021"
55781,"E265300","Psychogenic dysuria","readcode","ANX021"
56141,"Eu44200","[X]Dissociative stupor","readcode","ANX021"
56800,"E260100","Psychogenic torticollis","readcode","ANX021"
56924,"E292400","Adjustment reaction with anxious mood","readcode","ANX021"
56966,"Eu44500","[X]Dissociative convulsions","readcode","ANX021"
57877,"Eu45100","[X]Undifferentiated somatoform disorder","readcode","ANX021"
58013,"E292500","Culture shock","readcode","ANX021"
62002,"Eu45y00","[X]Other somatoform disorders","readcode","ANX021"
62400,"E26y.00","Other psychogenic malfunction","readcode","ANX021"
64166,"Eu44y00","[X]Other dissociative [conversion] disorders","readcode","ANX021"
66398,"E293200","Adjustment reaction with destructiveness","readcode","ANX021"
67304,"E292311","Specific academic or work inhibition","readcode","ANX021"
68379,"E265.00","Psychogenic genitourinary tract symptoms","readcode","ANX021"
71437,"E264z00","Psychogenic gastrointestinal tract symptom NOS","readcode","ANX021"
72171,"E20y300","Psychasthenic neurosis","readcode","ANX021"
73547,"E265z00","Psychogenic genitourinary tract symptom NOS","readcode","ANX021"
88758,"Eu44700","[X]Mixed dissociative [conversion] disorders","readcode","ANX021"
89237,"E267.00","Psychogenic symptom of special sense organ","readcode","ANX021"
96391,"E26yz00","Other psychogenic malfunction NOS","readcode","ANX021"
99609,"ZS7C700","Post-traumatic mutism","readcode","ANX021"
104891,"E293z00","Adjustment reaction with predominant disturbance conduct NOS","readcode","ANX021"
78,"H33..00","Asthma","readcode","AST078"
185,"H333.00","Acute exacerbation of asthma","readcode","AST078"
232,"H33z100","Asthma attack","readcode","AST078"
233,"H33z011","Severe asthma attack","readcode","AST078"
1208,"H330.12","Childhood asthma","readcode","AST078"
1555,"H33..11","Bronchial asthma","readcode","AST078"
2290,"H330.11","Allergic asthma","readcode","AST078"
3018,"663V100","Mild asthma","readcode","AST078"
3366,"663V300","Severe asthma","readcode","AST078"
3458,"663V000","Occasional asthma","readcode","AST078"
3665,"H331.11","Late onset asthma","readcode","AST078"
4442,"H33z.00","Asthma unspecified","readcode","AST078"
4606,"H33zz11","Exercise induced asthma","readcode","AST078"
4892,"H33z000","Status asthmaticus NOS","readcode","AST078"
5267,"H331.00","Intrinsic asthma","readcode","AST078"
5627,"H330011","Hay fever with asthma","readcode","AST078"
5798,"H312000","Chronic asthmatic bronchitis","readcode","AST078"
5867,"173A.00","Exercise induced asthma","readcode","AST078"
6707,"H330111","Extrinsic asthma with asthma attack","readcode","AST078"
7146,"H330.00","Extrinsic (atopic) asthma","readcode","AST078"
7731,"H330.14","Pollen asthma","readcode","AST078"
8335,"H33z111","Asthma attack NOS","readcode","AST078"
10487,"663j.00","Asthma - currently active","readcode","AST078"
11370,"1O2..00","Asthma confirmed","readcode","AST078"
12987,"H33z200","Late-onset asthma","readcode","AST078"
13065,"663V200","Moderate asthma","readcode","AST078"
14777,"H330000","Extrinsic asthma without status asthmaticus","readcode","AST078"
15248,"H330.13","Hay fever with asthma","readcode","AST078"
16070,"H33zz00","Asthma NOS","readcode","AST078"
18207,"H33zz13","Allergic bronchitis NEC","readcode","AST078"
18323,"H331111","Intrinsic asthma with asthma attack","readcode","AST078"
21232,"H33zz12","Allergic asthma NEC","readcode","AST078"
22752,"173c.00","Occupational asthma","readcode","AST078"
25796,"H332.00","Mixed asthma","readcode","AST078"
27926,"H330100","Extrinsic asthma with status asthmaticus","readcode","AST078"
29325,"H331000","Intrinsic asthma without status asthmaticus","readcode","AST078"
32727,"H33z.11","Hyperreactive airways disease","readcode","AST078"
39478,"H35y700","Wood asthma","readcode","AST078"
40823,"H334.00","Brittle asthma","readcode","AST078"
41017,"1780.00","Aspirin induced asthma","readcode","AST078"
45073,"H331z00","Intrinsic asthma NOS","readcode","AST078"
45782,"H330z00","Extrinsic asthma NOS","readcode","AST078"
47684,"H47y000","Detergent asthma","readcode","AST078"
58196,"H331100","Intrinsic asthma with status asthmaticus","readcode","AST078"
73522,"173d.00","Work aggravated asthma","readcode","AST078"
74025,"493","","OXMIS","AST078"
74093,"493 AB","","OXMIS","AST078"
74348,"493 EB","","OXMIS","AST078"
74381,"493 BR","","OXMIS","AST078"
74458,"L4930LO","","OXMIS","AST078"
74500,"493 NA","","OXMIS","AST078"
74588,"493 CH","","OXMIS","AST078"
74627,"493 AI","","OXMIS","AST078"
74778,"493 AE","","OXMIS","AST078"
75049,"493 AA","","OXMIS","AST078"
76765,"493 HT","","OXMIS","AST078"
77881,"493 AK","","OXMIS","AST078"
78239,"493 JC","","OXMIS","AST078"
78930,"493 GR","","OXMIS","AST078"
79714,"493 BD","","OXMIS","AST078"
80085,"3052AT","","OXMIS","AST078"
81113,"493 EA","","OXMIS","AST078"
81364,"493 AD","","OXMIS","AST078"
81835,"493 EP","","OXMIS","AST078"
83552,"493 AR","","OXMIS","AST078"
84251,"493 GS","","OXMIS","AST078"
84275,"691 TM","","OXMIS","AST078"
84312,"493 AJ","","OXMIS","AST078"
86315,"493 C","","OXMIS","AST078"
93353,"H35y600","Sequoiosis (red-cedar asthma)","readcode","AST078"
1268,"G573200","Paroxysmal atrial fibrillation","readcode","ATR033"
1664,"G573000","Atrial fibrillation","readcode","ATR033"
1757,"G573100","Atrial flutter","readcode","ATR033"
2212,"G573.00","Atrial fibrillation and flutter","readcode","ATR033"
23437,"G573z00","Atrial fibrillation and flutter NOS","readcode","ATR033"
35127,"G573300","Non-rheumatic atrial fibrillation","readcode","ATR033"
96076,"G573500","Persistent atrial fibrillation","readcode","ATR033"
96277,"G573400","Permanent atrial fibrillation","readcode","ATR033"
510,"6689.00","Registered blind","readcode","BLI098"
555,"668B.00","Poor visual acuity","readcode","BLI098"
1444,"F49z.00","Visual loss NOS","readcode","BLI098"
1990,"F490.00","Blindness, both eyes","readcode","BLI098"
2746,"6688.00","Registered partially sighted","readcode","BLI098"
3851,"F495000","Blindness, one eye, unspecified","readcode","BLI098"
3976,"F49..13","Partial sight","readcode","BLI098"
6020,"F49..11","Impaired vision","readcode","BLI098"
6661,"ZV41000","[V]Problems with sight","readcode","BLI098"
6768,"6688.11","Registered partially blind","readcode","BLI098"
7203,"F492.00","Low vision, both eyes","readcode","BLI098"
8367,"F49..00","Blindness and low vision","readcode","BLI098"
9342,"SJ0..00","Optic nerve and pathway injury","readcode","BLI098"
9645,"F49..14","Sight impaired","readcode","BLI098"
10868,"F404100","Blind hypotensive eye","readcode","BLI098"
12493,"F49..12","Low vision","readcode","BLI098"
13152,"668C.00","Certificate of vision impairment","readcode","BLI098"
15269,"F495.00","Profound impairment, one eye","readcode","BLI098"
18819,"F49z000","Charles Bonnet syndrome","readcode","BLI098"
20256,"F493.00","Visual loss, both eyes unqualified","readcode","BLI098"
20585,"F4H7.00","Visual cortex disorder","readcode","BLI098"
20607,"F496000","Low vision, one eye, unspecified","readcode","BLI098"
23742,"F49z.11","Acquired blindness","readcode","BLI098"
25168,"F496200","Lesser eye: severe VI, Better eye: near normal vision","readcode","BLI098"
25547,"F49y.00","Visual loss, one eye, unqualified","readcode","BLI098"
25831,"F496.00","Low vision, one eye","readcode","BLI098"
26722,"2B6A.00","O/E-R-eye perceives light only","readcode","BLI098"
29387,"F491000","One eye blind, one eye low vision","readcode","BLI098"
32044,"SJ0z.11","Blindness - traumatic - NOS","readcode","BLI098"
32467,"F4H7300","Cortical blindness","readcode","BLI098"
33014,"2B6B.00","O/E - R-eye completely blind","readcode","BLI098"
33015,"2B69.00","O/E -R-eye counts fingers only","readcode","BLI098"
33016,"2B7B.00","O/E - L-eye completely blind","readcode","BLI098"
33017,"2B7C.00","O/E - L-eye sees hand movements","readcode","BLI098"
33447,"F492z00","Low vision, both eyes NOS","readcode","BLI098"
34957,"F4H6100","Visual pathway disorder due to vascular disorder","readcode","BLI098"
35515,"2B79.00","O/E -L-eye counts fingers only","readcode","BLI098"
37086,"F404200","Blind hypertensive eye","readcode","BLI098"
37893,"F496z00","Low vision, one eye NOS","readcode","BLI098"
38000,"F495A00","Acquired blindness, one eye","readcode","BLI098"
38166,"2B6W.00","O/E - R-eye visual acuity (corrected) 4/60","readcode","BLI098"
38167,"2B7A.00","O/E-L-eye perceives light only","readcode","BLI098"
38168,"2B7W.00","O/E - L-eye visual acuity (corrected) 4/60","readcode","BLI098"
40451,"F492000","Low vision, both eyes unspecified","readcode","BLI098"
41060,"2B6R.00","O/E - pinhole R-eye perceives light only","readcode","BLI098"
42262,"F490900","Acquired blindness, both eyes","readcode","BLI098"
44954,"F495z00","Profound impairment one eye NOS","readcode","BLI098"
45030,"2B6C.00","O/E - R-eye sees hand movements","readcode","BLI098"
45786,"2B6T.00","O/E - R-eye visual acuity (corrected) 1/60","readcode","BLI098"
47158,"2B6Q.00","O/E - pinhole R-eye counts fingers only","readcode","BLI098"
47911,"2B6V.00","O/E - R-eye visual acuity (corrected) 2/60","readcode","BLI098"
47912,"2B7T.00","O/E - L-eye visual acuity (corrected) 1/60","readcode","BLI098"
47956,"F490z00","Blindness both eyes NOS","readcode","BLI098"
48983,"2B6P.00","O/E - pinhole R-eye sees hand movements","readcode","BLI098"
49283,"2B7Q.00","O/E - pinhole L-eye counts fingers only","readcode","BLI098"
50679,"F491300","Better eye: severe VI, Lesser eye: near total VI","readcode","BLI098"
50925,"2B7P.00","O/E - pinhole L-eye sees hand movements","readcode","BLI098"
51274,"2B6S.00","O/E - pinhole R-eye completely blind","readcode","BLI098"
54513,"2B7S.00","O/E - pinhole L-eye completely blind","readcode","BLI098"
54514,"2B7R.00","O/E - pinhole L-eye perceives light only","readcode","BLI098"
54962,"F491z00","One eye blind, one eye low vision NOS","readcode","BLI098"
55108,"F490000","Unspecified blindness both eyes","readcode","BLI098"
55436,"F490100","Both eyes total visual impairment","readcode","BLI098"
55844,"F491.00","Better eye: low vision, Lesser eye: profound VI","readcode","BLI098"
56574,"SJ02.00","Optic pathway injury","readcode","BLI098"
57631,"F4H7z00","Visual cortex disorder NOS","readcode","BLI098"
58787,"SJ0z.00","Optic nerve or pathway injury NOS","readcode","BLI098"
60032,"2B7V.00","O/E - L-eye visual acuity (corrected) 2/60","readcode","BLI098"
60043,"F495400","Lesser eye: near total VI, Better eye: unspecified","readcode","BLI098"
60078,"SJ03.00","Visual cortex injury","readcode","BLI098"
60401,"F494.00","Legal blindness USA","readcode","BLI098"
62657,"F496500","Lesser eye: moderate VI, Better eye: near normal vision","readcode","BLI098"
63045,"F495100","Lesser eye: total visual impairment, Better eye: unspecified","readcode","BLI098"
63298,"SJ01.00","Optic chiasm injury","readcode","BLI098"
63732,"FyuL100","[X]Other visual disturbances","readcode","BLI098"
63928,"F495500","Lesser eye: near total VI, Better eye: near normal vision","readcode","BLI098"
65144,"F495600","Lesser eye: near total VI, Better eye: normal vision","readcode","BLI098"
65569,"2B7X.00","O/E - L-eye visual acuity (corrected) 5/60","readcode","BLI098"
66372,"F4H7100","Visual cortex disorder due to vascular disorder","readcode","BLI098"
66391,"2B6X.00","O/E - R-eye visual acuity (corrected) 5/60","readcode","BLI098"
66731,"F492200","Better eye: severe VI, Lesser eye: severe VI","readcode","BLI098"
67296,"SJ00.00","Optic nerve (2nd) injury","readcode","BLI098"
67594,"F491400","Better eye: severe VI, Lesser eye: profound VI","readcode","BLI098"
67765,"F496300","Lesser eye: severe VI, Better eye: normal vision","readcode","BLI098"
67872,"F496600","Lesser eye: moderate VI, Better eye: normal vision","readcode","BLI098"
68386,"F492400","Better eye: moderate VI, Lesser eye: severe VI","readcode","BLI098"
68391,"F491500","Better eye: moderate VI, Lesser eye: blind, unspecified","readcode","BLI098"
69998,"F495800","Lesser eye: profound VI, Better eye: near normal vision","readcode","BLI098"
71319,"F492500","Better eye: moderate VI, Lesser eye: moderate VI","readcode","BLI098"
