prodcode,CodingSystem,productname,gemscriptcode,source
34003,prodcode,Trazodone 50mg capsules (A A H Pharmaceuticals Ltd),61096020,ANX101
34292,prodcode,Lormetazepam 500microgram tablets (A A H Pharmaceuticals Ltd),51447020,ANX101
34331,prodcode,Temazepam 10mg tablets (A A H Pharmaceuticals Ltd),50859020,ANX101
34361,prodcode,Lormetazepam 500microgram tablets (Genus Pharmaceuticals Ltd),60685020,ANX101
34372,prodcode,Zopiclone 7.5mg tablets (PLIVA Pharma Ltd),63765020,ANX101
34406,prodcode,Temazepam 10mg tablets (Teva UK Ltd),53646020,ANX101
34408,prodcode,Nitrazepam 5mg tablets (A A H Pharmaceuticals Ltd),49130020,ANX101
34421,prodcode,Trazodone 50mg capsules (Zentiva),62274020,ANX101
34470,prodcode,Trazodone 150mg tablets (Zentiva),62276020,ANX101
34508,prodcode,Temazepam 10mg tablets (Mylan Ltd),59161020,ANX101
34516,prodcode,Lormetazepam 1mg tablets (Mylan Ltd),60533020,ANX101
34534,prodcode,Lormetazepam 1mg Tablet (Wyeth Pharmaceuticals),49955020,ANX101
34555,prodcode,Nitrazepam 5mg tablets (Wockhardt UK Ltd),49124020,ANX101
34561,prodcode,Diazepam 2mg Tablet (Regent Laboratories Ltd),62837020,ANX101
34572,prodcode,Temazepam 20mg tablets (Mylan Ltd),59162020,ANX101
34580,prodcode,Trazodone 100mg capsules (A A H Pharmaceuticals Ltd),61097020,ANX101
34612,prodcode,Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd),60509020,ANX101
34642,prodcode,Lormetazepam 500microgram tablets (Mylan Ltd),60532020,ANX101
34681,prodcode,Diazepam 5mg Tablet (Crosspharma Ltd),49516020,ANX101
34686,prodcode,Nitrazepam 5mg tablets (Teva UK Ltd),53356020,ANX101
34692,prodcode,Lormetazepam 1mg tablets (Genus Pharmaceuticals Ltd),60686020,ANX101
34770,prodcode,Nitrazepam 5mg Tablet (DDSA Pharmaceuticals Ltd),51544020,ANX101
34777,prodcode,Zopiclone 3.75mg tablets (Teva UK Ltd),59593020,ANX101
34806,prodcode,Nitrazepam 5mg tablets (Mylan Ltd),64053020,ANX101
34823,prodcode,Zopiclone 7.5mg tablets (Teva UK Ltd),59594020,ANX101
34874,prodcode,Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd),63436020,ANX101
34876,prodcode,Diazepam 2mg Tablet (Berk Pharmaceuticals Ltd),49456020,ANX101
34892,prodcode,Diazepam 5mg Tablet (Berk Pharmaceuticals Ltd),49457020,ANX101
34897,prodcode,Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd),65546020,ANX101
34964,prodcode,Nitrazepam 5mg Tablet (Berk Pharmaceuticals Ltd),49121020,ANX101
35932,prodcode,Lorazepam 2.5mg tablets (Teva UK Ltd),50646020,ANX101
36200,prodcode,Lorazepam 1mg tablets (Mylan Ltd),71875020,ANX101
36581,prodcode,Atensine 10mg Tablet (Rorer Pharmaceuticals Ltd),48237020,ANX101
36602,prodcode,Temazepam 20mg Tablet (Pharmacia Ltd),61571020,ANX101
36611,prodcode,Euhypnos 10mg/5ml Oral solution (Pharmacia Ltd),49359020,ANX101
37325,prodcode,Remnos 10mg Tablet (DDSA Pharmaceuticals Ltd),65074020,ANX101
37566,prodcode,Lorazepam 1mg/5ml oral suspension,94513020,ANX101
37745,prodcode,Lorazepam 1mg/5ml oral solution,94516020,ANX101
38418,prodcode,Temazepam 10mg Capsule (Berk Pharmaceuticals Ltd),50687020,ANX101
38424,prodcode,Temazepam 20mg Capsule (Berk Pharmaceuticals Ltd),50688020,ANX101
39284,prodcode,Lorazepam 1mg tablets (Genus Pharmaceuticals Ltd),51443020,ANX101
40153,prodcode,Buspirone 10mg Tablet (Galen Ltd),59278020,ANX101
41385,prodcode,Nitrazepam 5mg tablets (Actavis UK Ltd),54170020,ANX101
41391,prodcode,Lorazepam 1mg tablets (Arrow Generics Ltd),66962020,ANX101
41516,prodcode,Temazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd),55860020,ANX101
41539,prodcode,Zolpidem 10mg tablets (IVAX Pharmaceuticals UK Ltd),65835020,ANX101
41542,prodcode,Oxazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd),57821020,ANX101
41562,prodcode,Temazepam 10mg Tablet (Pharmacia Ltd),53651020,ANX101
41601,prodcode,Oxazepam 15mg Tablet (IVAX Pharmaceuticals UK Ltd),57820020,ANX101
41609,prodcode,Trazodone 50mg capsules (Teva UK Ltd),62361020,ANX101
41653,prodcode,Temazepam 20mg Capsule (Hillcross Pharmaceuticals Ltd),50696020,ANX101
41696,prodcode,Zolpidem 5mg tablets (Teva UK Ltd),64484020,ANX101
41697,prodcode,Zolpidem 5mg tablets (IVAX Pharmaceuticals UK Ltd),65832020,ANX101
41709,prodcode,Trazodone 100mg capsules (Teva UK Ltd),62362020,ANX101
41710,prodcode,Trazodone 100mg capsules (Zentiva),62275020,ANX101
41717,prodcode,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd),50860020,ANX101
41718,prodcode,Temazepam 10mg Capsule (Hillcross Pharmaceuticals Ltd),50695020,ANX101
42089,prodcode,Zolpidem 10mg Tablet (Winthrop Pharmaceuticals Ltd),63882020,ANX101
42814,prodcode,Lorazepam 2.5mg tablets (Genus Pharmaceuticals Ltd),51444020,ANX101
43240,prodcode,Buspirone 5mg tablets (Mylan Ltd),77191020,ANX101
43445,prodcode,Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd),60510020,ANX101
43560,prodcode,Zolpidem 10mg tablets (Teva UK Ltd),64487020,ANX101
45135,prodcode,Diazepam 2mg Tablet (M & A Pharmachem Ltd),63587020,ANX101
45254,prodcode,Temazepam 10mg tablets (Actavis UK Ltd),57123020,ANX101
45275,prodcode,Buspirone 5mg tablets (Actavis UK Ltd),61689020,ANX101
45283,prodcode,Temazepam 10mg tablets (Genus Pharmaceuticals Ltd),61199020,ANX101
45353,prodcode,Zopiclone 7.5mg tablets (Sandoz Ltd),62715020,ANX101
45829,prodcode,Lorazepam 1mg tablets (Sandoz Ltd),74808020,ANX101
46078,prodcode,Temazepam 20mg tablets (Genus Pharmaceuticals Ltd),61200020,ANX101
46799,prodcode,Zopiclone 3.75mg/5ml oral solution,479021,ANX101
46847,prodcode,Buspirone 10mg tablets (Actavis UK Ltd),61690020,ANX101
46896,prodcode,Lorazepam 500micrograms/5ml oral solution,445021,ANX101
46939,prodcode,Temazepam 20mg tablets (Teva UK Ltd),56303020,ANX101
46953,prodcode,Nitrazepam 5mg tablets (Ranbaxy (UK) Ltd),60189020,ANX101
46964,prodcode,Temazepam 20mg tablets (Actavis UK Ltd),57124020,ANX101
48517,prodcode,Lormetazepam 1mg/5ml oral suspension,20436020,ANX101
49504,prodcode,Buspar 10mg tablets (Lexon (UK) Ltd),3295020,ANX101
49589,prodcode,Temazepam 10mg tablets (Sandoz Ltd),66824020,ANX101
52022,prodcode,Zimovane 7.5mg tablets (Lexon (UK) Ltd),39801020,ANX101
54695,prodcode,Diazepam 10mg Tablet (M & A Pharmachem Ltd),63597020,ANX101
55137,prodcode,Trazodone 150mg/5ml oral suspension,34736020,ANX101
55836,prodcode,Temazepam 10mg/5ml oral solution sugar free (Focus Pharmaceuticals Ltd),74527020,ANX101
56551,prodcode,Lorazepam 5mg/5ml oral solution,20432020,ANX101
56811,prodcode,Temazepam 10mg tablets (F.Maltby & Sons Ltd),14501021,ANX101
56927,prodcode,Temazepam 10mg tablets (Ethigen Ltd),46781020,ANX101
57226,prodcode,Trazodone 25mg/5ml oral suspension,34744020,ANX101
57268,prodcode,Lorazepam 2.5mg tablets (Sandoz Ltd),74813020,ANX101
57937,prodcode,Zopiclone 3.75mg tablets (Almus Pharmaceuticals Ltd),71655020,ANX101
59095,prodcode,Buspirone 5mg tablets (A A H Pharmaceuticals Ltd),65857020,ANX101
59170,prodcode,Clomethiazole 192mg capsules (A A H Pharmaceuticals Ltd),3126020,ANX101
59640,prodcode,Zopiclone 7.5mg/5ml oral suspension,20950020,ANX101
59931,prodcode,Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),78020020,ANX101
60825,prodcode,Temazepam 20mg tablets (Sandoz Ltd),66828020,ANX101
61443,prodcode,Buspirone 10mg tablets (A A H Pharmaceuticals Ltd),65862020,ANX101
61450,prodcode,Lorazepam 1mg tablets (A A H Pharmaceuticals Ltd),61626020,ANX101
61657,prodcode,Trazodone 75mg/5ml oral solution,34750020,ANX101
61886,prodcode,Lorazepam 5mg/5ml oral suspension,20434020,ANX101
62645,prodcode,Temazepam 20mg Tablet (Lagap),57271020,ANX101
63592,prodcode,Zopiclone 7.5mg tablets (Sigma Pharmaceuticals Plc),3170020,ANX101
63665,prodcode,Noctamid 0.5mg Tablet (Schering Health Care Ltd),50738020,ANX101
63674,prodcode,Temazepam 30mg gel-fill capsules,73174020,ANX101
64729,prodcode,Lorazepam 1mg tablets (Genesis Pharmaceuticals Ltd),40522020,ANX101
64775,prodcode,Nitrazepam 10mg/5ml oral suspension,31061020,ANX101
64876,prodcode,Lorazepam 2mg/5ml oral suspension,20428020,ANX101
65152,prodcode,Trazodone 100mg/5ml oral solution,34726020,ANX101
65190,prodcode,Zolpidem 10mg tablets (Zentiva),42169020,ANX101
65637,prodcode,Zopiclone 7.5mg tablets (Phoenix Healthcare Distribution Ltd),3171020,ANX101
8,prodcode,Salbutamol 100micrograms/dose inhaler,59553020,AST055
17,prodcode,Salbutamol 100micrograms/dose inhaler CFC free,59554020,AST055
31,prodcode,Ventolin 100microgram/inhalation Inhalation powder (Glaxo Wellcome UK Ltd),52213020,AST055
38,prodcode,Beclometasone 100micrograms/dose inhaler,69246020,AST055
99,prodcode,Becotide 100 inhaler (GlaxoSmithKline UK Ltd),57212020,AST055
218,prodcode,AMINOPHYLLINE 100 MG CAP,3059007,AST055
235,prodcode,Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd),48447020,AST055
273,prodcode,THEOPHYLLINE 200 MG CAP,3509007,AST055
282,prodcode,Salbutamol 2mg/5ml oral solution sugar free,66548020,AST055
314,prodcode,Intal 5mg/dose inhaler (Aventis Pharma),55096020,AST055
454,prodcode,Pulmicort 200microgram Inhaler (AstraZeneca UK Ltd),53685020,AST055
465,prodcode,Salmeterol 25micrograms/dose inhaler,74013020,AST055
510,prodcode,Ventolin 5mg/ml respirator solution (GlaxoSmithKline UK Ltd),52229020,AST055
534,prodcode,Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd),48252020,AST055
549,prodcode,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),74018020,AST055
555,prodcode,Aminophylline 225mg modified-release tablets,67439020,AST055
556,prodcode,Combivent inhaler (Boehringer Ingelheim Ltd),75509020,AST055
590,prodcode,Phyllocontin Continus 225mg tablets (Napp Pharmaceuticals Ltd),55544020,AST055
638,prodcode,Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd),79544020,AST055
665,prodcode,Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd),85668020,AST055
674,prodcode,Ventolin 2.5mg Nebules (GlaxoSmithKline UK Ltd),52234020,AST055
696,prodcode,Salbutamol 8mg modified-release capsules,53724020,AST055
719,prodcode,Salmeterol 50micrograms/dose dry powder inhaler,74015020,AST055
746,prodcode,Tiotropium 18 microgram Capsule,73050020,AST055
856,prodcode,Ventolin 2mg/5ml syrup (GlaxoSmithKline UK Ltd),52204020,AST055
862,prodcode,Salbulin Inhalation powder (3M Health Care Ltd),52877020,AST055
863,prodcode,Slo-phyllin 125mg Capsule (Lipha Pharmaceuticals Ltd),51577020,AST055
879,prodcode,Theophylline 125mg modified-release capsules,66995020,AST055
880,prodcode,Theophylline 60mg modified-release capsules,66994020,AST055
881,prodcode,Salbutamol 2mg tablets,59379020,AST055
882,prodcode,Salbutamol 200microgram inhalation powder capsules,67866020,AST055
883,prodcode,Becodisks 200microgram Disc (Allen & Hanburys Ltd),68210020,AST055
895,prodcode,Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd),79401020,AST055
896,prodcode,Becotide easi-breathe 100microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),84968020,AST055
898,prodcode,Ventolin evohaler 100 100microgram/inhalation Pressurised inhalation (Glaxo Wellcome UK Ltd),52215020,AST055
907,prodcode,Bricanyl turbohaler 500 500microgram Turbohaler (AstraZeneca UK Ltd),48448020,AST055
908,prodcode,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd),73579020,AST055
909,prodcode,Budesonide 200micrograms/dose inhaler,64256020,AST055
910,prodcode,Serevent diskhaler 50microgram Inhalation powder (Glaxo Wellcome UK Ltd),74019020,AST055
911,prodcode,Flixotide accuhaler 250 250microgram/inhalation Inhalation powder (Allen & Hanburys Ltd),79577020,AST055
942,prodcode,Aerolin 100micrograms/dose Autohaler (3M Health Care Ltd),68159020,AST055
947,prodcode,Budesonide 50micrograms/actuation refill canister,73585020,AST055
956,prodcode,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd),73578020,AST055
957,prodcode,Salamol easi-breathe 100microgram/actuation Pressurised inhalation (IVAX Pharmaceuticals UK Ltd),79689020,AST055
958,prodcode,Ventolin easi-breathe 100microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),84965020,AST055
959,prodcode,Budesonide 50micrograms/dose inhaler,64257020,AST055
960,prodcode,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd),73580020,AST055
964,prodcode,Sodium cromoglicate 5mg/dose inhaler,61061020,AST055
987,prodcode,Ventolin 4mg Tablet (Allen & Hanburys Ltd),52203020,AST055
1087,prodcode,Asmasal 95micrograms/dose Clickhaler (Focus Pharmaceuticals Ltd),86061020,AST055
1093,prodcode,Salamol 100microgram/actuation Inhalation powder (IVAX Pharmaceuticals UK Ltd),52885020,AST055
1097,prodcode,Slo-phyllin 60mg Capsule (Lipha Pharmaceuticals Ltd),51576020,AST055
1100,prodcode,Beclazone 100 inhaler (Teva UK Ltd),56476020,AST055
1236,prodcode,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd),48309020,AST055
1242,prodcode,Beclometasone 250micrograms/dose inhaler,69244020,AST055
1243,prodcode,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd),79402020,AST055
1258,prodcode,Becotide 200 inhaler (GlaxoSmithKline UK Ltd),67266020,AST055
1259,prodcode,Beclometasone 200micrograms/dose inhaler,69255020,AST055
1269,prodcode,Becotide 50microgram/ml Nebuliser liquid (Allen & Hanburys Ltd),53718020,AST055
1346,prodcode,Salbutamol 0.05mg/ml injection,69341020,AST055
1406,prodcode,Becotide 50 inhaler (GlaxoSmithKline UK Ltd),48324020,AST055
1409,prodcode,Ipratropium bromide 20micrograms/dose inhaler,63608020,AST055
1410,prodcode,Ipratropium bromide 0.25mg/ml,63615020,AST055
1411,prodcode,Ipratropium bromide 250micrograms/ml,63616020,AST055
1412,prodcode,Flixotide 250microgram/actuation Inhalation powder (Allen & Hanburys Ltd),75190020,AST055
1414,prodcode,Salamol 5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd),56866020,AST055
1415,prodcode,Steri-neb ipratropium 250microgram/ml Nebuliser liquid (IVAX Pharmaceuticals UK Ltd),75830020,AST055
1422,prodcode,Cromogen 5mg/dose inhaler (Teva UK Ltd),56860020,AST055
1423,prodcode,Uniphyllin Continus 200mg tablets (Napp Pharmaceuticals Ltd),52100020,AST055
1424,prodcode,Flixotide 250microgram Disc (Allen & Hanburys Ltd),74455020,AST055
1426,prodcode,Flixotide 500microgram Disc (Allen & Hanburys Ltd),75187020,AST055
1518,prodcode,Flixotide 50microgram/actuation Inhalation powder (Allen & Hanburys Ltd),74986020,AST055
1537,prodcode,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd),53711020,AST055
1551,prodcode,Beclazone 250 inhaler (Teva UK Ltd),56477020,AST055
1552,prodcode,Becloforte easi-breathe 250microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),84970020,AST055
1619,prodcode,Terbutaline 500micrograms/dose dry powder inhaler,74122020,AST055
1620,prodcode,Terbutaline 250micrograms/dose inhaler,66882020,AST055
1628,prodcode,Terbutaline 250micrograms/actuation refill canister,66884020,AST055
1629,prodcode,Intal 20mg/2ml nebuliser solution unit dose vials (Aventis Pharma),56159020,AST055
1630,prodcode,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,67862020,AST055
1635,prodcode,Salbuvent 2mg/5ml Oral solution (Pharmacia Ltd),69348020,AST055
1642,prodcode,Budesonide 400micrograms/dose dry powder inhaler,52570020,AST055
1676,prodcode,Flixotide 125microgram/actuation Inhalation powder (Allen & Hanburys Ltd),74987020,AST055
1680,prodcode,Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd),53690020,AST055
1683,prodcode,Intal 20mg Spincaps (Sanofi),49948020,AST055
1697,prodcode,Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd),75004020,AST055
1698,prodcode,Salbutamol 100micrograms/dose breath actuated inhaler,69893020,AST055
1711,prodcode,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials,67863020,AST055
1725,prodcode,Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd),79400020,AST055
1727,prodcode,Becotide easi-breathe 50microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd),84967020,AST055
1728,prodcode,Cromogen 5mg/dose Easi-Breathe inhaler (Teva UK Ltd),83993020,AST055
1734,prodcode,Beclometasone 100micrograms/dose breath actuated inhaler,74422020,AST055
1741,prodcode,Salbutamol 100micrograms/dose breath actuated inhaler CFC free,86841020,AST055
1794,prodcode,Berotec 100microgram/actuation Inhalation powder (Boehringer Ingelheim Ltd),48393020,AST055
1801,prodcode,Ventide inhaler (GlaxoSmithKline UK Ltd),53748020,AST055
1832,prodcode,Theograd 350mg Tablet (Abbott Laboratories Ltd),67011020,AST055
1833,prodcode,Theophylline 200mg modified-release tablets,66985020,AST055
1834,prodcode,Theophylline 400mg modified-release tablets,66991020,AST055
1861,prodcode,AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd),54707020,AST055
1882,prodcode,Ventodisks 200microgram/blister Disc (Allen & Hanburys Ltd),68214020,AST055
1885,prodcode,Beclazone 200 inhaler (Teva UK Ltd),81155020,AST055
